Crop,pH,Temp,Rain,Humidity,Nitrogen,Phosphorus,Potassium,Oxygen
quince,5,15,613,55,94,43,117,18
quince,5,19,669,50,75,38,95,20
quince,5,20,667,66,67,39,102,18
quince,5,23,796,54,91,32,120,21
quince,5,20,648,68,67,42,89,18
quince,6,21,708,56,64,44,108,21
quince,6,24,706,68,76,30,103,19
quince,5,20,658,58,64,34,115,21
quince,5,17,621,53,94,43,80,18
quince,5,22,608,66,91,35,85,21
quince,6,22,690,57,100,43,80,18
quince,5,18,626,54,71,42,107,21
quince,6,15,614,55,90,36,89,21
quince,5,22,762,63,89,49,104,20
quince,5,21,656,55,95,34,96,21
quince,6,24,763,55,100,34,97,19
quince,5,19,663,68,72,31,95,20
quince,5,24,618,60,100,48,89,21
quince,5,16,696,50,73,46,85,21
quince,6,16,732,51,92,43,107,19
quince,5,18,744,57,76,50,102,19
quince,5,25,720,55,98,50,114,21
quince,5,18,729,57,62,43,98,18
quince,6,15,740,63,86,40,98,21
quince,6,19,657,58,82,39,117,21
quince,6,25,714,54,68,36,101,21
quince,6,18,738,63,73,42,116,21
quince,5,25,644,55,89,40,118,18
quince,6,22,687,70,65,42,104,18
quince,5,20,658,69,64,44,83,21
quince,6,19,717,62,69,39,87,21
quince,5,25,749,63,78,46,83,20
quince,6,25,694,61,67,30,105,19
quince,6,21,604,69,73,50,108,21
quince,6,23,632,58,98,43,120,21
quince,6,19,605,60,77,44,96,18
quince,5,16,651,66,83,41,96,20
quince,6,21,758,53,72,33,80,19
quince,6,15,618,69,72,46,109,19
quince,5,22,693,51,65,41,93,18
quince,6,21,763,50,90,46,102,19
quince,5,22,613,50,93,36,101,18
quince,6,15,734,69,69,43,100,20
quince,5,17,661,62,62,36,103,18
quince,5,21,754,51,95,36,91,19
quince,5,18,672,51,74,49,103,20
quince,6,20,756,65,75,35,104,20
quince,5,18,652,50,75,40,85,20
quince,5,15,727,67,82,49,115,18
quince,5,16,612,64,62,34,108,19
quince,6,22,644,65,60,31,85,18
quince,5,19,744,67,99,48,90,21
quince,5,16,671,50,81,34,103,20
quince,6,19,622,68,69,31,102,20
quince,6,23,753,54,93,35,104,20
quince,5,20,670,63,71,32,110,19
quince,5,25,687,50,77,32,95,20
quince,6,21,723,51,85,39,108,19
quince,6,20,759,67,76,30,82,21
quince,5,18,708,59,88,37,117,20
quince,6,21,699,69,72,48,98,20
quince,5,23,667,51,79,43,118,19
quince,6,24,742,55,84,49,101,18
quince,6,15,752,52,71,49,89,18
quince,6,16,725,62,79,40,91,21
quince,5,21,753,63,66,50,113,18
quince,5,17,767,64,87,50,88,21
quince,6,19,738,60,68,35,83,21
quince,6,15,783,64,83,41,91,20
quince,6,21,711,63,81,41,110,20
quince,6,19,602,59,95,36,89,21
quince,5,16,679,60,76,34,82,18
quince,6,23,728,65,93,30,81,18
quince,5,21,678,52,89,31,111,21
quince,6,16,643,55,64,38,103,21
quince,6,21,636,53,93,30,101,21
quince,5,22,607,68,68,35,87,19
quince,6,16,633,54,63,37,113,20
quince,5,25,624,54,70,44,99,20
quince,6,17,674,63,63,39,105,20
quince,5,16,718,57,86,36,81,20
quince,5,18,686,51,94,49,96,20
quince,6,19,800,64,68,36,109,19
quince,6,18,611,58,65,41,103,18
quince,6,19,676,65,86,44,118,20
quince,6,20,628,65,90,42,119,21
quince,6,23,631,61,71,30,109,21
quince,6,25,701,66,68,44,116,21
quince,6,17,701,54,68,37,111,21
quince,6,17,779,67,80,42,111,21
quince,5,25,795,60,66,42,90,21
quince,5,20,664,59,81,50,110,19
quince,6,18,687,60,70,30,117,20
quince,5,16,610,68,88,36,108,21
quince,5,17,694,63,92,36,90,18
quince,6,23,725,64,89,43,113,18
quince,5,21,655,53,99,46,106,18
quince,5,25,743,50,66,33,93,20
quince,5,24,722,63,76,33,88,18
quince,6,23,720,50,63,43,96,19
quince,6,17,690,52,82,38,119,19
quince,6,19,715,53,100,49,114,18
quince,5,20,770,51,78,34,98,18
quince,6,17,775,58,70,41,92,21
quince,5,16,799,68,86,30,97,20
quince,5,16,620,60,74,43,85,21
quince,6,20,746,59,83,37,94,20
quince,5,16,710,66,89,37,102,21
quince,5,24,773,59,86,30,100,18
quince,6,18,673,66,96,35,89,18
quince,5,24,729,68,79,30,85,21
quince,5,16,633,63,62,41,89,19
quince,6,18,641,59,69,48,112,18
quince,6,23,625,65,68,31,110,19
quince,5,25,636,55,81,40,116,20
quince,6,17,800,63,93,36,96,20
quince,6,19,637,61,67,34,89,21
quince,5,23,603,64,75,41,114,20
quince,5,25,629,59,73,49,104,18
quince,5,22,622,50,64,33,85,19
quince,6,19,627,66,97,44,89,21
quince,6,16,707,59,96,50,120,21
quince,6,18,642,61,96,43,111,21
quince,5,22,653,67,78,44,111,19
quince,6,20,735,64,63,41,106,18
quince,5,20,617,69,72,37,82,21
quince,6,23,669,70,79,48,113,20
quince,6,24,784,57,92,46,88,20
quince,6,22,710,50,91,50,94,20
quince,5,18,733,60,94,38,94,21
quince,6,15,765,70,69,31,106,18
quince,5,22,670,64,61,47,81,20
quince,6,22,631,50,66,47,94,20
